property_type,location,area_marla,bedrooms,bathrooms,price_pkr
House,University Town,5.0,4,5,19000000.0
House,G-13,4.0,5,6,34000000.0
House,DHA Defence Phase 3,20.0,5,6,66000000.0
House,DHA Defence Phase 3,20.0,5,6,66000000.0
House,DHA Defence Phase 3,20.0,5,6,66000000.0
House,DHA Defence Phase 3,20.0,5,6,66000000.0
House,DHA Defence,20.0,5,6,157500000.0
House,DHA Defence,20.0,5,6,135000000.0
House,I-8,20.0,9,7,250000000.0
House,Bahria Enclave,10.0,7,7,46000000.0
House,FECHS,5.0,4,7,26800000.0
House,Korang Town,24.0,3,3,53000000.0
House,G-9,14.0,5,4,89500000.0
House,Jinnah Gardens,8.0,4,5,29500000.0
House,Gulberg,10.0,4,5,72500000.0
House,F-10,40.0,5,6,340000000.0
House,Bani Gala,5.0,3,3,15000000.0
House,MPCHS - Multi Gardens,8.0,4,6,41500000.0
House,Bahria Enclave,5.0,4,4,24500000.0
House,E-11,20.0,8,6,170000000.0
House,F-10,22.0,5,5,240000000.0
House,MPCHS - Multi Gardens,5.0,4,4,26000000.0
House,Arsalan Town,5.0,4,6,17000000.0
House,Lehtrar Road,4.0,3,3,9000000.0
House,DHA Defence,20.0,6,6,125000000.0
House,DHA Defence,20.0,5,6,119500000.0
House,DHA Defence,20.0,6,6,112500000.0
House,DHA Defence,20.0,6,6,127000000.0
House,DHA Defence,20.0,6,6,109000000.0
House,DHA Defence,20.0,6,6,119000000.0
House,DHA Defence,20.0,5,6,135000000.0
House,Park Road,3.0,4,4,24500000.0
House,B-17,10.0,5,6,53500000.0
House,DHA Defence,20.0,5,6,140000000.0
House,G-13,8.0,6,6,57500000.0
House,DHA Defence Phase 5,10.0,5,6,65000000.0
House,DHA Defence Phase 2,20.0,8,7,140000000.0
House,F-11,26.0,6,7,190000000.0
House,DHA Defence,20.0,6,6,109000000.0
House,Bahria Enclave,10.0,5,6,47500000.0
House,Bahria Enclave,5.0,3,5,23500000.0
House,Bahria Enclave,10.0,5,6,52500000.0
House,D-12,4.0,3,4,43000000.0
House,DHA Defence Phase 2,20.0,6,6,95000000.0
House,FECHS,8.0,4,6,33500000.0
House,B-17,8.0,5,6,36000000.0
House,Emaar Canyon Views,10.0,4,5,52500000.0
House,National Police Foundation O-9,20.0,7,7,65000000.0
House,Bani Gala,5.0,5,5,22000000.0
House,Tarlai,10.0,4,4,17500000.0
House,Bani Gala,20.0,5,5,75000000.0
House,Bhara kahu,8.0,3,3,18500000.0
House,Simly Dam Road,8.0,3,3,18500000.0
House,F-10,40.0,6,6,340000000.0
House,F-10,20.0,5,6,175000000.0
House,F-11,20.0,5,6,185000000.0
House,F-10,24.0,6,6,230000000.0
House,Bahria Enclave,10.0,5,6,53000000.0
House,Top City 1,10.0,6,6,49500000.0
House,Jinnah Gardens,8.0,5,6,37000000.0
House,DHA Defence Phase 5,20.0,7,7,107500000.0
House,G-8,9.0,6,5,72000000.0
House,E-11,20.0,9,6,125000000.0
House,Margalla View Housing Society,9.3,4,6,41000000.0
House,D-12,5.0,6,6,63000000.0
House,D-17,9.3,4,6,41500000.0
House,I-8,12.0,5,5,105000000.0
House,D-12,10.0,5,6,135000000.0
House,DHA Defence,40.0,6,7,165000000.0
House,Faisal Hills,5.0,4,5,15500000.0
House,B-17,5.0,4,4,32000000.0
House,Bahria Enclave,10.0,5,5,28500000.0
House,G-13,10.0,4,4,67000000.0
House,I-14,5.0,4,4,29000000.0
House,F-10,13.0,4,5,130000000.0
House,F-10,32.0,10,6,260000000.0
House,Park Road,12.0,3,3,45000000.0
House,Soan Garden,16.0,7,6,53000000.0
House,E-7,32.0,4,4,550000000.0
House,F-8,42.0,10,7,550000000.0
House,F-6,17.8,5,5,235000000.0
House,Park View City,5.0,4,4,36000000.0
House,Jinnah Gardens,5.0,4,4,21500000.0
House,Gulberg Residencia,7.0,5,7,41000000.0
House,FECHS,7.0,5,5,36000000.0
House,G-13,20.0,8,7,167000000.0
House,B-17,5.0,4,5,20500000.0
House,D-17,10.0,5,6,40500000.0
House,E-17,20.0,6,6,55000000.0
House,G-13,8.0,6,7,52500000.0
House,I-14,5.0,2,3,19000000.0
House,Faisal Hills,5.0,3,3,25500000.0
House,F-10,20.0,5,5,175000000.0
House,F-8,20.0,5,6,260000000.0
House,F-7,26.0,6,6,335000000.0
House,F-11,20.0,9,7,400000000.0
House,Bahria Enclave,5.0,3,4,24500000.0
House,Top City 1,10.0,6,6,50500000.0
House,Bani Gala,11.0,6,6,35000000.0
House,Bani Gala,16.0,6,6,50000000.0
House,Bani Gala,5.0,4,4,19000000.0
House,Park View City,5.8,4,4,32500000.0
House,Bani Gala,44.0,5,5,125000000.0
House,Bani Gala,16.0,6,6,50000000.0
House,Ghauri Town,6.0,5,6,28000000.0
House,Ghauri Town,5.0,4,5,18000000.0
House,Soan Garden,10.0,5,6,31000000.0
House,D-12,4.0,4,4,44000000.0
House,PWD Housing Scheme,9.3,5,6,36500000.0
House,DHA Defence,20.0,6,7,115000000.0
House,Bahria Enclave,10.0,5,6,52000000.0
House,D-12,10.0,5,7,150000000.0
House,G-9,14.0,5,5,130000000.0
House,Soan Garden,9.0,6,6,38000000.0
House,Jinnah Gardens,8.0,4,4,27500000.0
House,Naval Anchorage,20.0,6,6,84500000.0
House,F-7,22.0,6,7,380000000.0
House,Faisal Hills,5.0,2,2,8500000.0
House,DHA Defence,10.0,5,6,75000000.0
House,Lehtrar Road,7.0,6,6,30000000.0
House,DHA Defence Phase 2,20.0,6,6,95000000.0
House,G-13,4.0,4,4,41000000.0
House,Gulberg,7.0,4,6,40000000.0
House,B-17,8.0,5,6,31000000.0
House,B-17,5.0,4,4,29000000.0
House,MPCHS - Multi Gardens,8.0,7,6,38000000.0
House,MPCHS - Multi Gardens,8.0,4,6,39500000.0
House,MPCHS - Multi Gardens,8.0,4,6,35500000.0
House,MPCHS - Multi Gardens,10.0,6,6,55500000.0
House,Naval Anchorage,5.0,5,5,25200000.0
House,F-7,26.0,5,6,320000000.0
House,F-7,20.0,6,6,300000000.0
House,I-14,5.0,5,5,24800000.0
House,Soan Garden,10.0,7,7,39000000.0
House,B-17,8.0,4,5,42000000.0
House,E-16,7.0,4,5,24000000.0
House,DHA Phase 1 - Sector F,11.0,3,4,37500000.0
House,F-7,42.0,7,7,480000000.0
House,F-6,9.3,5,5,135000000.0
House,Faisal Hills,5.0,3,4,23000000.0
House,DHA Phase 1 - Sector F,11.0,4,4,37000000.0
House,Airport Enclave,5.0,5,6,20600000.0
House,Airport Enclave,5.0,5,6,20600000.0
House,Airport Enclave,5.0,5,6,20600000.0
House,MPCHS - Multi Gardens,8.0,4,6,33000000.0
House,B-17,5.0,4,5,24500000.0
House,MPCHS - Multi Gardens,11.0,5,6,52000000.0
House,MPCHS - Multi Gardens,10.0,5,6,45000000.0
House,MPCHS - Multi Gardens,5.0,4,4,27500000.0
House,MPCHS - Multi Gardens,5.0,4,4,27500000.0
House,B-17,5.0,4,4,24000000.0
House,B-17,5.0,4,4,31000000.0
House,Bahria Enclave,20.0,5,6,125000000.0
House,E-11,6.7,5,6,48000000.0
House,D-12,5.0,3,3,51000000.0
House,I-14,6.0,6,6,32000000.0
House,G-13,8.0,5,6,51000000.0
House,Fazaia Housing Scheme,24.0,9,6,65000000.0
House,Green Avenue,20.0,6,6,150000000.0
House,D-17,9.0,6,6,32000000.0
House,Naval Anchorage,5.0,4,5,24500000.0
House,G-13,20.0,7,6,160000000.0
House,D-12,10.0,6,6,140000000.0
House,British Homes Colony,5.0,6,5,16000000.0
House,Airport Enclave,5.0,5,6,20600000.0
House,DHA Defence,20.0,6,6,85000000.0
House,Jhangi Syedan,5.0,3,3,11399999.999999998
House,F-10,40.0,6,6,350000000.0
House,D-17,6.0,7,6,26000000.0
House,B-17,8.0,4,6,41500000.0
House,B-17,5.0,4,4,26000000.0
House,MPCHS - Multi Gardens,8.0,5,6,40000000.0
House,MPCHS - Multi Gardens,5.0,5,6,28000000.0
House,F-8,36.0,5,6,450000000.0
House,Faisal Hills,5.0,3,4,25000000.0
House,Faisal Hills,5.0,4,4,22799999.999999996
House,F-7,26.0,6,6,480000000.0
House,G-13,4.0,4,4,44500000.0
House,G-13,7.0,6,6,61500000.0
House,Top City 1,10.0,4,6,48500000.0
House,DHA Defence,10.0,5,6,73000000.0
House,Top City 1,10.0,4,4,55000000.0
House,I-8,24.0,6,6,220000000.0
House,I-8,24.0,9,6,175000000.0
House,Bani Gala,5.0,3,4,14800000.0
House,River Garden,8.0,4,6,30500000.0
House,Airport Green Garden,5.0,3,4,14000000.0
House,G-13,14.2,10,6,128000000.0
House,River Garden,5.0,4,4,27000000.0
House,G-9,6.0,4,4,55000000.0
House,F-8,36.0,1,1,360000000.0
House,DHA Defence,20.0,5,6,124500000.0
House,Bani Gala,10.0,5,6,55000000.0
House,Bahria Enclave,10.0,5,5,52500000.0
House,Bahria Enclave,10.0,6,6,60000000.0
House,Bahria Enclave,5.0,3,3,25000000.0
House,DHA Defence,20.0,5,6,85000000.0
House,DHA Defence,20.0,5,6,132000000.0
House,DHA Defence,20.0,5,6,75000000.0
House,DHA Defence,20.0,6,6,76500000.0
House,DHA Defence,20.0,6,6,100000000.0
House,I-11,6.0,5,6,45000000.0
House,G-16,20.0,7,6,80000000.0
House,B-17,10.0,6,7,52000000.0
House,I-10,6.7,2,2,32500000.0
House,F-15,10.9,6,6,47000000.0
House,F-8,20.0,4,5,180000000.0
House,I-10,6.0,5,6,59500000.0
House,G-11,8.0,5,5,80000000.0
House,I-11,4.0,5,5,30000000.0
House,Bahria Enclave,10.0,5,6,61000000.0
House,Bahria Enclave,10.0,5,6,53000000.0
House,Fazaia Housing Scheme,10.0,6,7,42500000.0
House,MPCHS - Multi Gardens,10.0,6,6,58500000.0
House,Soan Garden,20.0,7,6,68000000.0
House,Kuri Road,14.2,6,6,47500000.0
House,I-14,8.0,4,4,36000000.0
House,Park View City,5.0,4,5,22500000.0
House,DHA Defence,20.0,5,6,100000000.0
House,DHA Defence,20.0,5,6,157500000.0
House,DHA Defence,20.0,5,6,104000000.0
House,DHA Defence Phase 1,20.0,6,6,75000000.0
House,Bani Gala,16.0,5,5,44000000.0
House,DHA Defence,20.0,5,6,130000000.0
House,DHA Defence,20.0,5,6,97500000.0
House,Bani Gala,7.5,4,5,24000000.0
House,D-12,14.3,7,7,160000000.0
House,G-11,5.6,5,5,59000000.0
House,Bahria Enclave,8.0,5,6,41000000.0
House,Bani Gala,10.0,5,5,46000000.0
House,Bahria Enclave,10.0,5,6,47500000.0
House,Naval Anchorage,20.0,6,6,80000000.0
House,G-14,10.0,6,6,72500000.0
House,Gulberg Residencia,7.0,3,3,32000000.0
House,F-11,26.0,6,7,190000000.0
House,Faisal Hills,8.0,5,5,39000000.0
House,Fazaia Housing Scheme,24.0,7,6,63000000.0
House,Bahria Town,20.0,6,6,105000000.0
House,F-7,26.0,6,6,450000000.0
House,D-12,4.4,3,4,40000000.0
House,F-6,22.0,4,4,230000000.0
House,FECHS,7.0,4,4,26500000.0
House,I-10,6.7,4,4,35500000.0
House,G-10,12.0,7,7,119000000.0
House,Naval Anchorage,5.0,4,5,26000000.0
House,D-12,5.0,4,5,56000000.0
House,MPCHS - Multi Gardens,8.0,4,6,42500000.0
House,CBR Town Phase 1,8.0,5,6,34000000.0
House,G-6,66.0,7,6,470000000.0
House,Gulberg Residencia,7.0,4,5,31000000.0
House,Bani Gala,10.0,6,6,65000000.0
House,Jinnah Gardens,7.0,4,4,33000000.0
House,DHA Defence Phase 2,20.0,6,7,155000000.0
House,CBR Town Phase 1,12.0,7,6,63000000.0
House,G-14,10.0,6,6,72500000.0
House,D-12,10.0,5,5,94500000.0
House,B-17,5.0,4,5,25500000.0
House,Gulberg Residencia,7.0,6,6,42000000.0
House,Mumtaz City,8.0,4,4,30000000.0
House,B-17,5.0,4,5,17500000.0
House,MPCHS - Multi Gardens,5.0,3,4,26000000.0
House,MPCHS - Multi Gardens,10.0,5,6,40000000.0
House,MPCHS - Multi Gardens,8.0,5,6,39000000.0
House,MPCHS - Multi Gardens,5.0,6,6,22500000.0
House,G-16,8.0,5,6,28000000.0
House,G-15,24.0,8,6,72500000.0
House,DHA Defence Phase 2,20.0,5,6,66000000.0
House,DHA Defence Phase 2,20.0,5,6,66000000.0
House,F-6,17.8,5,5,230000000.0
House,MPCHS - Multi Gardens,8.0,5,6,41000000.0
House,Gulberg,7.0,5,6,26000000.0
House,Gulberg Residencia,10.0,5,6,55000000.0
House,Faisal Town - F-18,10.9,7,6,60000000.0
House,G-13,4.4,4,5,34500000.0
House,DHA Defence Phase 2,20.0,5,6,82500000.0
House,D-12,4.0,3,3,53000000.0
House,Bahria Enclave,10.0,5,6,53000000.0
House,Bahria Enclave,5.0,3,3,28500000.0
House,Bahria Enclave,10.0,5,6,56000000.0
House,B-17,8.0,5,6,45000000.0
House,DHA Defence,8.0,3,3,14500000.0
House,B-17,5.0,4,5,24000000.0
House,MPCHS - Multi Gardens,10.0,5,6,38000000.0
House,MPCHS - Multi Gardens,10.0,5,6,40000000.0
House,MPCHS - Multi Gardens,5.0,3,4,18500000.0
House,PWD Housing Scheme,10.0,7,6,33500000.0
House,Bani Gala,5.0,4,5,19000000.0
House,G-15,7.0,5,4,35000000.0
House,F-10,26.0,5,6,350000000.0
House,Pakistan Town,6.0,4,4,28500000.0
House,G-9,6.7,5,5,55000000.0
House,MPCHS - Multi Gardens,10.0,5,6,58000000.0
House,G-10,14.2,6,6,97500000.0
House,PWD Housing Scheme,10.0,5,6,44000000.0
House,D-17,10.0,5,7,44000000.0
House,G-6,10.0,5,5,109000000.0
House,F-8,36.0,6,7,345000000.0
House,Jinnah Gardens,5.0,5,5,25800000.0
House,DHA Defence Phase 3,40.0,6,6,147500000.0
House,Bani Gala,11.0,5,5,48500000.0
House,E-18,5.0,4,4,15500000.0
House,D-17,5.0,4,5,15500000.0
House,D-17,7.0,5,6,24000000.0
House,E-18,11.0,4,5,24000000.0
House,DHA Defence,10.0,5,6,67500000.0
House,D-12,14.0,6,7,160000000.0
House,B-17,20.0,6,6,95000000.0
House,National Police Foundation O-9,5.0,4,4,20500000.0
House,National Police Foundation O-9,5.0,4,4,17000000.0
House,PWD Housing Scheme,14.0,7,6,70000000.0
House,Soan Garden,18.0,7,6,60000000.0
House,National Police Foundation O-9,7.0,5,7,37500000.0
House,MPCHS - Multi Gardens,7.0,9,6,38000000.0
House,Soan Garden,7.8,4,4,36500000.0
House,Top City 1,10.0,5,6,43000000.0
House,E-18,11.0,4,5,24000000.0
House,F-8,20.0,5,6,320000000.0
House,G-6,11.1,4,4,92500000.0
House,D-17,7.1,5,5,26500000.0
House,Faisal Town - F-18,8.0,4,6,38500000.0
House,DHA Defence Phase 1,24.0,8,6,140000000.0
House,G-13,4.0,2,4,42000000.0
House,Ghauri Town,10.0,9,7,42000000.0
House,D-12,10.0,5,6,135000000.0
House,National Police Foundation O-9,10.0,3,3,23500000.0
House,DHA Defence Phase 5,5.0,4,4,36000000.0
House,Gulberg,7.0,5,5,45000000.0
House,B-17,8.0,5,6,40000000.0
House,DHA Valley - Lilly Sector,5.0,2,2,7800000.0
House,F-7,20.0,5,7,320000000.0
House,D-18,40.0,7,6,270000000.0
House,Gulberg Residencia,7.0,5,5,43000000.0
House,PWD Housing Scheme,10.0,5,5,36000000.0
House,Soan Garden,6.0,2,2,20000000.0
House,G-13,10.0,6,6,97500000.0
House,Top City 1,10.0,5,6,45000000.0
House,MPCHS - Multi Gardens,7.0,6,6,42000000.0
House,F-7,20.0,11,7,440000000.0
House,Faisal Town Phase 1,10.0,5,5,46500000.0
House,DHA Defence Phase 3,28.0,5,6,100000000.0
House,D-12,5.6,5,5,54000000.0
House,Top City 1,10.1,5,6,49000000.0
House,F-11,20.0,6,6,180000000.0
