property_type,location,area_marla,bedrooms,bathrooms,price_pkr
House,D-12,5.5,5,7,75000000.0
House,DHA Defence,20.0,5,6,115000000.0
House,Top City 1,10.0,5,6,47500000.0
House,DHA Valley,8.0,3,3,16000000.0
House,Top City 1,20.0,7,6,65000000.0
House,G-11,14.0,8,7,132000000.0
House,Bani Gala,6.0,5,6,22000000.0
House,Soan Garden,12.0,6,6,58000000.0
House,MPCHS - Multi Gardens,10.0,5,6,53500000.0
House,Bahria Enclave,10.0,5,6,48000000.0
House,F-8,17.8,5,5,450000000.0
House,Bahria Enclave,8.0,5,6,40000000.0
House,I-14,5.0,4,4,25000000.0
House,Mumtaz City,5.0,4,4,21000000.0
House,Jhangi Syedan,5.0,5,6,11500000.0
House,I-14,5.0,5,3,29000000.0
House,Top City 1,10.0,5,5,44000000.0
House,Top City 1,10.0,5,5,48500000.0
House,Faisal Town Phase 1,8.0,4,6,36500000.0
House,Faisal Hills,5.0,3,4,22500000.0
House,Faisal Hills,5.0,3,4,22500000.0
House,MPCHS - Multi Gardens,5.0,3,4,22000000.0
House,Faisal Hills,5.0,4,4,22500000.0
House,Faisal Hills,5.0,3,3,23000000.0
House,Top City 1,10.0,6,6,42000000.0
House,Mumtaz City,8.0,5,6,29500000.0
House,DHA Defence,20.0,5,6,158000000.0
House,G-11,4.0,4,5,46500000.0
House,Gulberg Residencia,7.0,4,4,44900000.0
House,Faisal Town Phase 1,8.0,5,6,45000000.0
House,Soan Garden,20.0,7,6,68000000.0
House,DHA Defence,18.0,5,5,128000000.0
House,Faisal Town Phase 1,5.0,4,5,28000000.0
House,I-8,12.4,6,6,115000000.0
House,F-8,20.0,5,6,260000000.0
House,F-7,24.0,6,7,460000000.0
House,MPCHS - Multi Gardens,10.0,5,6,60000000.0
House,F-7,26.0,6,6,350000000.0
House,DHA Defence Phase 2,20.0,5,6,97000000.0
House,D-17,10.7,6,6,42000000.0
House,MPCHS - Multi Gardens,5.0,4,4,18000000.0
House,F-6,17.8,7,7,385000000.0
House,F-8,17.8,5,5,450000000.0
House,F-8,20.0,4,5,250000000.0
House,Bahria Enclave,10.0,5,5,58000000.0
House,D-17,7.1,4,4,25000000.0
House,F-6,17.8,6,6,250000000.0
House,Faisal Hills,10.0,6,6,40000000.0
House,MPCHS - Multi Gardens,7.0,5,6,42000000.0
House,MPCHS - Multi Gardens,7.0,5,6,42000000.0
House,I-11,4.0,4,5,34500000.0
House,DHA Defence Phase 2,20.0,5,6,160000000.0
House,DHA Defence Phase 5,20.0,6,6,160000000.0
House,Soan Garden,6.0,5,6,31000000.0
House,G-11,6.7,3,3,52500000.0
House,Top City 1,10.0,5,6,45000000.0
House,Top City 1,10.0,5,6,44000000.0
House,D-17,9.3,6,6,36000000.0
House,D-17,6.0,6,6,25000000.0
House,B-17,20.0,6,6,82000000.0
House,E-11,8.0,6,6,60000000.0
House,F-11,40.0,5,6,290000000.0
House,Bahria Town,10.0,5,6,57000000.0
House,Bahria Enclave,10.0,5,6,52500000.0
House,Bahria Town,10.0,5,6,53500000.0
House,Bahria Town,10.0,5,6,55000000.0
House,Bahria Enclave,10.0,7,6,55000000.0
House,Bahria Enclave,10.0,5,6,59000000.0
House,Bahria Garden City,32.0,6,6,140000000.0
House,Bahria Garden City,40.0,5,6,190000000.0
House,G-10,10.0,5,5,78000000.0
House,MPCHS - Multi Gardens,8.0,4,6,42500000.0
House,I-8,14.2,8,6,130000000.0
House,Bahria Enclave,10.0,5,7,56000000.0
House,MPCHS - Multi Gardens,8.0,4,6,41500000.0
House,Bahria Enclave,10.0,5,6,54000000.0
House,DHA Defence,10.0,5,6,67500000.0
House,I-8,14.0,7,6,136000000.0
House,I-10,5.0,5,6,32000000.0
House,F-8,40.0,5,5,400000000.0
House,Top City 1,10.0,5,6,40000000.0
House,Top City 1,20.0,8,7,85000000.0
House,F-10,20.0,7,7,157500000.0
House,F-7,40.0,5,6,550000000.0
House,F-8,20.0,5,6,250000000.0
House,F-8,40.0,6,7,360000000.0
House,F-11,20.0,10,6,155000000.0
House,G-9,14.2,6,6,94000000.0
House,G-13,8.0,5,5,63500000.0
House,B-17,20.0,8,6,85000000.0
House,G-14,7.0,7,6,62500000.0
House,G-13,10.0,7,7,88000000.0
House,G-14,26.0,10,7,178000000.0
House,G-13,20.0,7,7,150000000.0
House,B-17,10.0,5,6,58000000.0
House,F-10,44.0,5,6,310000000.0
House,DHA Defence,40.0,10,6,200000000.0
House,DHA Defence,20.0,5,6,114000000.0
House,DHA Defence,10.0,2,3,40000000.0
House,Korang Town,6.0,4,5,32000000.0
House,D-17,10.0,4,5,35000000.0
House,MPCHS - Multi Gardens,10.0,4,6,47000000.0
House,G-13,14.0,7,6,130000000.0
House,National Police Foundation O-9,5.0,3,4,20000000.0
House,MPCHS - Multi Gardens,10.0,6,6,60000000.0
House,B-17,9.0,7,6,52000000.0
House,DHA Defence Phase 5,5.0,3,3,32500000.0
House,Soan Garden,20.0,7,6,65000000.0
House,DHA Defence Phase 3,26.0,7,6,85500000.0
House,Bani Gala,6.0,5,5,25000000.0
House,Margalla Town,4.9,6,5,60000000.0
House,Top City 1,10.0,5,6,43000000.0
House,Top City 1,10.0,5,6,48500000.0
House,Bani Gala,11.0,5,6,48500000.0
House,Bani Gala,10.0,5,6,42000000.0
House,Bani Gala,10.0,5,5,35000000.0
House,G-6,9.8,5,5,79500000.0
House,E-11,12.0,6,6,98000000.0
House,F-10,20.0,9,6,260000000.0
House,Bahria Enclave,5.0,3,4,28000000.0
House,D-12,4.0,4,5,50000000.0
House,I-16,5.0,4,7,23500000.0
House,I-11,4.0,5,5,23500000.0
House,Faisal Town Phase 1,20.0,11,6,145000000.0
House,DHA Defence,20.0,5,6,157500000.0
House,FECHS,7.0,5,7,35000000.0
House,FECHS,5.0,5,7,26000000.0
House,G-13,14.0,5,6,130000000.0
House,B-17,10.0,6,6,59000000.0
House,B-17,5.0,6,6,30000000.0
House,Bani Gala,52.0,5,6,125000000.0
House,Margalla Town,4.0,6,4,40000000.0
House,G-15,8.0,5,6,40000000.0
House,Gulberg Residencia,7.0,5,4,39000000.0
House,F-10,20.0,7,6,370000000.0
House,F-11,20.0,9,7,285000000.0
House,I-10,4.4,5,5,35500000.0
House,MPCHS - Multi Gardens,8.0,4,5,30000000.0
House,E-11,16.0,6,6,110000000.0
House,Burma Town,3.0,3,2,6200000.0
House,D-12,14.0,8,6,120000000.0
House,F-10,20.0,6,6,175000000.0
House,G-8,12.0,5,5,115000000.0
House,DHA Defence,20.0,5,6,145000000.0
House,DHA Defence,10.0,5,6,55000000.0
House,DHA Defence,20.0,5,6,158000000.0
House,DHA Defence,20.0,5,6,119000000.0
House,DHA Defence Phase 1,20.0,5,6,132500000.0
House,DHA Defence,20.0,5,6,125000000.0
House,B-17,5.0,6,6,40000000.0
House,H-13,5.0,6,6,20500000.0
House,G-15,8.0,8,7,42500000.0
House,D-17,9.3,4,6,41000000.0
House,MPCHS - Multi Gardens,10.9,5,6,60000000.0
House,MPCHS - Multi Gardens,5.6,5,6,23000000.0
House,D-12,20.0,7,6,320000000.0
House,I-10,6.0,6,5,48500000.0
House,I-10,7.0,8,7,65000000.0
House,I-10,6.0,5,6,62500000.0
House,E-11,10.0,4,5,75000000.0
House,F-10,40.0,5,6,320000000.0
House,F-10,40.0,6,6,270000000.0
House,B-17,8.0,6,6,30000000.0
House,D-17,10.0,4,6,29000000.0
House,MPCHS - Multi Gardens,10.0,4,6,47000000.0
House,MPCHS - Multi Gardens,8.0,4,6,43000000.0
House,DHA Defence Phase 2,20.0,10,6,105000000.0
House,D-12,4.0,4,4,42500000.0
House,Bahria Enclave,20.0,6,7,115000000.0
House,B-17,14.0,6,6,67000000.0
House,Bahria Garden City,60.0,6,6,225000000.0
House,D-17,9.3,4,6,38500000.0
House,MPCHS - Multi Gardens,10.0,6,7,47000000.0
House,Soan Garden,20.0,7,7,72500000.0
House,F-15,20.0,8,7,61000000.0
House,G-13,14.0,7,6,100000000.0
House,B-17,12.0,5,6,52500000.0
House,B-17,5.0,4,4,33000000.0
House,I-10,6.0,4,3,32500000.0
House,DHA Defence,20.0,6,6,75000000.0
House,DHA Defence,10.0,5,6,63000000.0
House,D-17,9.3,4,6,35000000.0
House,G-13,7.0,4,5,67500000.0
House,B-17,5.0,4,5,30000000.0
House,DHA Defence Phase 2,20.0,5,6,158000000.0
House,Soan Garden,7.0,5,7,25000000.0
House,CBR Town Phase 1,7.0,5,6,36000000.0
House,Gulberg,10.0,6,6,52500000.0
House,National Police Foundation O-9,20.0,6,6,55000000.0
House,National Police Foundation O-9,20.0,6,6,60000000.0
House,Korang Town,6.0,5,6,32000000.0
House,PWD Housing Scheme,12.0,6,6,68000000.0
House,I-8,12.0,6,6,125000000.0
House,I-8,14.2,6,6,180000000.0
House,I-8,11.0,6,6,110000000.0
House,I-8,12.0,6,6,120000000.0
House,DHA Defence,20.0,5,6,95000000.0
House,B-17,10.0,6,6,43500000.0
House,B-17,8.0,4,6,32500000.0
House,Ghauri Town,100.0,2,3,11000000.0
House,Bahria Enclave,8.0,5,6,31500000.0
House,B-17,5.0,4,5,26000000.0
House,B-17,5.0,4,5,30000000.0
House,G-13,14.0,6,6,100000000.0
House,G-14,4.0,4,4,32500000.0
House,F-10,3.6,6,6,43500000.0
House,G-10,16.0,6,6,125000000.0
House,G-14,4.4,4,5,38000000.0
House,National Police Foundation O-9,10.0,4,5,37500000.0
House,B-17,5.6,4,4,28500000.0
House,Bahria Town,10.0,5,6,56000000.0
House,Bahria Enclave,10.0,5,6,59500000.0
House,Bahria Enclave,12.0,5,6,77500000.0
House,Bahria Town,10.0,5,6,56000000.0
House,Bahria Town,10.0,7,6,62500000.0
House,Bahria Town,10.0,5,6,45000000.0
House,I-8,20.0,6,7,170000000.0
House,I-8,20.0,9,7,250000000.0
House,I-11,4.0,4,5,32500000.0
House,I-11,4.0,4,4,29500000.0
House,I-11,6.0,4,5,44500000.0
House,Bahria Enclave,5.0,3,3,26000000.0
House,DHA Defence Phase 5,38.0,8,6,220000000.0
House,Shah Allah Ditta,5.0,4,5,32500000.0
House,MPCHS - Multi Gardens,10.0,5,5,52000000.0
House,I-14,7.0,6,6,35500000.0
House,Top City 1,20.0,5,6,90000000.0
House,Top City 1,10.0,10,7,48000000.0
House,F-7,22.0,8,7,300000000.0
House,Top City 1,10.0,5,5,50500000.0
House,Top City 1,10.0,6,6,49000000.0
House,Top City 1,10.0,6,6,47800000.0
House,Bahria Enclave,10.0,5,6,62000000.0
House,Bahria Enclave,10.0,5,6,60000000.0
House,D-12,14.0,6,6,160000000.0
House,D-12,4.0,4,4,43000000.0
House,D-12,7.0,5,5,97500000.0
House,DHA Defence Phase 2,20.0,6,7,115000000.0
House,MPCHS - Multi Gardens,5.0,4,4,22000000.0
House,B-17,5.0,3,4,18500000.0
House,B-17,8.0,4,5,35500000.0
House,B-17,10.9,4,5,48000000.0
House,G-11,14.2,6,6,95000000.0
House,I-11,6.0,5,5,41000000.0
House,Faisal Town - F-18,8.0,4,6,38000000.0
House,Faisal Town - F-18,8.0,6,6,39000000.0
House,B-17,8.0,7,5,38000000.0
House,Bani Gala,6.0,5,6,21500000.0
House,Soan Garden,20.0,7,6,75000000.0
House,DHA Defence,20.0,6,7,118000000.0
House,D-12,8.0,7,6,97500000.0
House,Top City 1,10.0,5,6,55000000.0
House,Top City 1,10.0,5,6,47500000.0
House,Faisal Town - F-18,8.0,5,6,35000000.0
House,DHA Defence,20.0,6,6,125000000.0
House,Bhara kahu,8.0,3,3,17500000.0
House,G-6,66.0,7,6,490000000.0
House,B-17,14.0,6,6,55000000.0
House,B-17,5.0,5,5,24000000.0
House,B-17,10.0,6,6,47000000.0
House,B-17,5.0,4,5,26000000.0
House,B-17,5.0,4,5,30000000.0
House,B-17,5.0,4,5,21000000.0
House,Faisal Town - F-18,5.0,4,5,25000000.0
House,DHA Defence,20.0,6,6,112500000.0
House,Bahria Enclave,10.0,5,6,55000000.0
House,DHA Defence,20.0,5,6,91000000.0
House,D-12,8.0,7,7,110000000.0
House,Faisal Town - F-18,5.0,4,4,23500000.0
House,Bahria Enclave,5.0,3,3,24000000.0
House,Korang Town,6.0,5,6,35000000.0
House,B-17,5.0,4,5,25000000.0
House,B-17,8.0,5,6,33000000.0
House,F-10,32.0,10,7,260000000.0
House,Bahria Enclave,5.0,3,4,28000000.0
House,Bahria Enclave,5.0,3,4,30500000.0
House,Simly Dam Road,8.0,3,3,17500000.0
House,Bani Gala,10.0,5,6,48500000.0
House,University Town,10.0,6,7,33000000.0
House,G-13,14.2,7,6,105000000.0
House,G-13,14.0,7,6,105000000.0
House,I-10,4.0,6,6,35000000.0
House,I-8,5.8,2,2,23000000.0
House,F-8,17.8,5,7,450000000.0
House,MPCHS - Multi Gardens,5.0,4,6,26000000.0
House,MPCHS - Multi Gardens,8.0,4,6,31500000.0
House,MPCHS - Multi Gardens,10.0,6,6,44000000.0
House,MPCHS - Multi Gardens,10.0,6,6,51500000.0
House,Faisal Town - F-18,5.0,4,4,23500000.0
House,F-7,20.0,11,7,550000000.0
House,Bahria Enclave,10.0,5,7,55000000.0
House,MPCHS - Multi Gardens,5.0,4,6,25000000.0
House,Gulberg Residencia,7.0,5,6,46500000.0
House,Bani Gala,10.0,5,6,24000000.0
House,Gulberg Residencia,10.0,5,6,50000000.0
House,Gulberg Residencia,8.0,4,5,41000000.0
House,Faisal Town Phase 1,5.0,4,6,24500000.0
House,Bahria Enclave,5.0,3,4,34000000.0
House,DHA Defence,24.0,6,6,127500000.0
House,B-17,5.0,5,6,25000000.0
House,MPCHS - Multi Gardens,10.0,6,6,58000000.0
House,MPCHS - Multi Gardens,8.0,3,5,37800000.0
House,MPCHS - Multi Gardens,5.0,4,4,20800000.0
House,MPCHS - Multi Gardens,14.0,7,6,65500000.0
House,MPCHS - Multi Gardens,10.0,6,6,45000000.0
House,MPCHS - Multi Gardens,8.0,5,6,36000000.0
House,DHA Defence,10.0,5,5,65000000.0
House,B-17,10.0,6,6,57699999.99999999
House,E-7,38.0,5,6,540000000.0
House,F-7,24.0,7,6,500000000.0
House,DHA Defence Phase 5,20.0,5,6,110000000.0
House,DHA Defence,20.0,5,6,82000000.0
House,I-8,14.0,6,6,139500000.0
House,Top City 1,10.0,5,6,56500000.0
House,D-12,4.0,3,3,45000000.0
House,Bahria Enclave,5.0,3,4,27000000.0
House,Gulberg Greens,20.0,5,7,130000000.0
House,F-6,32.0,5,5,340000000.0
House,I-9,9.0,6,6,85000000.0
House,I-9,9.0,6,6,100000000.0
House,Top City 1,10.0,5,6,46500000.0
House,D-12,8.0,8,7,110000000.0
House,B-17,5.0,4,4,26000000.0
House,B-17,5.0,3,3,23000000.0
House,MPCHS - Multi Gardens,9.5,5,6,52000000.0
House,MPCHS - Multi Gardens,5.0,4,4,27799999.999999996
House,MPCHS - Multi Gardens,12.0,6,6,57500000.0
House,F-8,20.0,7,6,370000000.0
House,B-17,5.0,4,5,26000000.0
House,I-14,8.0,2,3,28000000.0
House,DHA Defence,20.0,5,6,135000000.0
House,I-14,7.0,5,6,40000000.0
House,I-14,7.0,5,6,41500000.0
House,Top City 1,10.0,5,6,43500000.0
House,G-13,10.0,7,7,98000000.0
House,F-7,20.0,4,5,230000000.0
House,B-17,5.0,4,4,22799999.999999996
House,DHA Valley,5.0,2,2,7500000.0
House,I-8,14.2,6,6,180000000.0
House,Jinnah Gardens,7.0,2,2,24500000.0
House,B-17,5.0,5,6,14000000.0
House,Park View City,5.0,5,5,22500000.0
House,Korang Town,12.0,6,7,42000000.0
House,G-9,14.2,6,6,89000000.0
House,MPCHS - Multi Gardens,8.0,4,4,29000000.0
House,MPCHS - Multi Gardens,8.0,4,6,35000000.0
House,MPCHS - Multi Gardens,8.0,4,6,32000000.0
House,MPCHS - Multi Gardens,10.0,5,6,53500000.0
House,B-17,5.0,5,6,33000000.0
House,I-14,7.0,5,6,39000000.0
House,I-14,6.0,5,6,29000000.0
House,I-14,7.0,6,6,35000000.0
House,Top City 1,10.0,5,6,52500000.0
House,Top City 1,10.0,5,6,56500000.0
House,Top City 1,20.0,7,6,75000000.0
House,Top City 1,10.0,5,6,40000000.0
House,D-17,9.3,4,4,32500000.0
House,G-13,14.2,10,7,128000000.0
House,MPCHS - Multi Gardens,10.0,5,6,52500000.0
House,B-17,5.0,4,4,22900000.0
House,D-12,10.0,6,7,120000000.0
House,D-12,5.0,4,4,51500000.0
House,Faisal Hills,5.0,5,6,24000000.0
House,Frash Town,5.0,6,7,27000000.0
House,B-17,5.0,4,5,19200000.0
House,Bahria Enclave,5.0,3,4,28000000.0
House,Top City 1,10.0,5,5,45000000.0
House,F-11,20.0,8,7,190000000.0
House,F-11,20.0,6,7,210000000.0
House,MPCHS - Multi Gardens,8.0,4,6,33000000.0
House,B-17,8.0,4,6,37000000.0
House,B-17,5.0,5,6,24000000.0
House,MPCHS - Multi Gardens,8.0,4,6,41500000.0
House,MPCHS - Multi Gardens,8.0,6,6,30000000.0
House,I-14,5.0,4,5,25000000.0
House,I-14,6.0,4,5,30000000.0
House,DHA Defence,10.0,5,6,58000000.0
House,DHA Phase 1 - Sector F,11.0,3,4,38000000.0
House,D-12,4.4,3,3,43500000.0
House,D-12,4.4,3,3,47500000.0
House,I-8,11.0,6,7,152500000.0
House,D-12,4.0,3,4,41000000.0
House,D-12,10.0,5,6,130000000.0
House,D-12,14.0,6,6,140000000.0
House,D-12,8.0,4,4,87500000.0
House,D-12,4.0,3,5,40500000.0
House,Faisal Town Phase 1,8.0,4,6,30000000.0
House,DHA Defence,20.0,7,7,105000000.0
House,MPCHS - Multi Gardens,20.0,8,6,130000000.0
House,MPCHS - Multi Gardens,9.0,4,4,45000000.0
House,DHA Defence,52.0,7,7,300000000.0
House,Bahria Enclave,8.0,5,6,35000000.0
House,B-17,5.0,4,4,28500000.0
House,MPCHS - Multi Gardens,8.0,4,6,34500000.0
House,MPCHS - Multi Gardens,5.0,4,4,22000000.0
House,MPCHS - Multi Gardens,5.0,4,4,18000000.0
House,MPCHS - Multi Gardens,10.0,4,6,38000000.0
House,F-7,20.0,5,5,350000000.0
House,MPCHS - Multi Gardens,7.0,6,5,42000000.0
House,MPCHS - Multi Gardens,7.0,6,5,30000000.0
House,F-8,22.0,6,7,310000000.0
House,F-8,36.0,5,6,345000000.0
House,F-6,26.0,5,6,385000000.0
House,G-13,8.0,5,6,61000000.0
House,DHA Defence,20.0,5,6,158000000.0
House,DHA Defence,20.0,5,6,110000000.0
House,DHA Defence,20.0,5,6,110000000.0
House,Kashmir Highway,10.0,4,5,53000000.0
House,Faisal Town - F-18,5.6,5,6,31500000.0
House,I-14,8.0,6,6,39000000.0
House,DHA Defence Phase 5,8.0,4,4,46000000.0
House,G-9,6.0,5,6,71500000.0
House,Faisal Hills,5.0,5,6,25000000.0
House,Bahria Enclave,10.0,5,7,55000000.0
House,DHA Defence Phase 2,20.0,6,7,154500000.0
House,MPCHS - Multi Gardens,5.0,5,6,23000000.0
House,FECHS,7.0,5,6,36000000.0
House,FECHS,7.0,5,6,31500000.0
House,FECHS,7.0,5,6,33000000.0
House,FECHS,7.0,5,6,34500000.0
House,F-6,22.0,5,6,250000000.0
House,Bahria Enclave,10.0,5,7,55000000.0
House,Bahria Enclave,10.0,5,7,43500000.0
House,Bahria Enclave,8.0,5,6,34500000.0
House,Bahria Enclave,10.0,5,6,55000000.0
House,Bahria Enclave,10.0,7,7,48000000.0
House,Bahria Enclave,8.0,4,5,46000000.0
House,Bahria Enclave,6.0,5,6,35000000.0
House,Kashmir Highway,20.0,5,6,125000000.0
House,F-10,20.0,5,6,175000000.0
House,G-13,8.0,6,6,65500000.0
House,D-12,20.0,7,6,225000000.0
House,F-6,40.0,6,7,465000000.0
House,Faisal Hills,5.0,5,5,10500000.0
House,CBR Town,14.0,7,6,60000000.0
House,Soan Garden,6.0,4,4,26000000.0
House,Kuri Road,8.0,4,6,45000000.0
House,Ali Pur,5.0,2,3,8000000.0
House,F-17,20.0,6,6,48500000.0
House,MPCHS - Multi Gardens,10.1,5,6,52500000.0
House,Jinnah Gardens,8.0,4,5,27500000.0
House,Gulberg Residencia,20.0,6,7,115000000.0
House,DHA Defence,10.0,5,6,75000000.0
House,Soan Garden,6.0,5,5,30000000.0
House,DHA Defence Phase 2,20.0,5,6,66000000.0
House,Bahria Enclave,10.0,7,7,55000000.0
House,Bahria Enclave,10.0,5,7,53500000.0
House,Bahria Enclave,5.0,3,4,27000000.0
House,G-11,5.0,4,3,42000000.0
House,G-13,4.0,4,3,35000000.0
House,Bahria Town,10.0,5,6,55000000.0
House,DHA Defence Phase 5,10.0,5,6,62500000.0
House,F-17,40.0,7,6,150000000.0
House,D-12,4.4,4,4,38000000.0
House,D-12,4.4,3,5,43000000.0
House,DHA Defence,10.0,5,6,77000000.0
House,DHA Defence,7.0,4,5,49500000.0
House,B-17,8.0,5,6,38000000.0
House,Alipur Farash,5.0,2,3,9800000.0
House,Soan Garden,6.0,4,5,32500000.0
House,MPCHS - Multi Gardens,8.0,4,5,32000000.0
House,MPCHS - Multi Gardens,8.0,6,5,38000000.0
House,MPCHS - Multi Gardens,8.0,4,4,33000000.0
House,MPCHS - Multi Gardens,8.0,4,4,33000000.0
House,DHA Defence,20.0,6,6,66000000.0
House,Korang Town,6.0,5,6,34500000.0
House,F-10,24.0,7,6,350000000.0
